"","TAHUN","NAMA.PROVINSI","NAMA.KABUPATEN.KOTA","NAMA.KECAMATAN","NAMA.KELURAHAN","LAKI.LAKI.WNI","PEREMPUAN.WNI","LAKI.LAKI.WNA","PEREMPUAN.WNA","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR",1790,1690,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG",9159,9206,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA",10811,10436,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN",8455,8023,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA",6300,6078,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO",13056,12588,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU",7557,7552,34,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR",16327,15859,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI",13610,13808,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA",9734,9889,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN",17269,16458,42,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN",12365,11932,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG",15933,15665,33,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA",13523,13049,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG",17284,17020,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN",11730,11487,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU",19103,18601,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU",13441,13288,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG",17125,16351,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN",4236,3975,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI",5445,5252,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN",13787,13477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT",17482,16331,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG",9176,9148,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR",11200,10849,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR",13630,13686,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT",20029,19681,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI",12462,12465,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG",14576,14610,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN",13392,13214,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI",4825,4772,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA",2196,2443,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH",7976,7439,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA",1865,1883,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR",12713,12582,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN",11002,10271,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","PETAMBURAN",20112,18794,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI",19826,18672,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG",12873,12357,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI",7348,7205,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU",21016,20953,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA",13337,12499,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR",11077,10259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2013,"PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI",22680,21450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
